problem,array_size,sparsity,num_func_calls,dense_overhead,sparse_overhead,avg_append_duration,avg_getatindex_duration,avg_getatrank_duration
sparsearray,100,0.01,100000,6400,497,3.3014e-07,0.000109654,2.93e-08
sparsearray,100,0.05,100000,6400,753,2.73308e-07,0.000175314,2.33e-08
sparsearray,100,0.1,100000,6400,1073,2.65922e-07,0.000260312,2.844e-08
sparsearray,100,0.2,100000,6400,1585,3.19941e-07,0.000414889,2.034e-08
sparsearray,100,0.5,100000,6400,2865,3.15366e-07,0.000785794,2.214e-08
sparsearray,100,0.8,100000,6400,4081,2.15178e-07,0.00093774,2.854e-08
sparsearray,1000,0.01,100000,64000,3168,2.64674e-06,0.000105332,2.742e-08
sparsearray,1000,0.05,100000,64000,5728,1.94824e-06,0.000175931,2.974e-08
sparsearray,1000,0.1,100000,64000,8736,1.87181e-06,0.000268053,3.17e-08
sparsearray,1000,0.2,100000,64000,14048,1.76879e-06,0.000440397,3.072e-08
sparsearray,1000,0.5,100000,64000,27680,1.48726e-06,0.00077969,3.128e-08
sparsearray,1000,0.8,100000,64000,37600,1.29943e-06,0.000921188,2.606e-08
sparsearray,10000,0.01,100000,640000,27909,1.86124e-05,9.79793e-05,2.418e-08
sparsearray,10000,0.05,100000,640000,52805,1.82157e-05,0.000181214,2.556e-08
sparsearray,10000,0.1,100000,640000,82053,1.78317e-05,0.000257718,3.234e-08
sparsearray,10000,0.2,100000,640000,137669,1.69761e-05,0.000427333,3.316e-08
sparsearray,10000,0.5,100000,640000,273541,1.7098e-05,0.000907423,4e-08
sparsearray,10000,0.8,100000,640000,376517,1.27625e-05,0.000923315,2.832e-08
sparsearray,100000,0.01,100000,6400000,275751,0.000180311,0.000109962,3.494e-08
sparsearray,100000,0.05,100000,6400000,524711,0.000185096,0.000185531,3.576e-08
sparsearray,100000,0.1,100000,6400000,819879,0.00017823,0.000267034,3.262e-08
sparsearray,100000,0.2,100000,6400000,1370407,0.000171308,0.000448877,3.35e-08
sparsearray,100000,0.5,100000,6400000,2731431,0.000148563,0.000854899,3.902e-08
sparsearray,100000,0.8,100000,6400000,3740071,0.000127441,0.000928116,3.324e-08
